,Taxid,Name,Host,Lineage
240,347,Xanthomonas oryzae,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Xanthomonas
242,358,Agrobacterium tumefaciens,bacteria,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Agrobacterium; Agrobacterium tumefaciens complex
247,381,Mesorhizobium loti,bacteria,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium
248,382,Sinorhizobium meliloti,bacteria,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Sinorhizobium
255,384,Rhizobium leguminosarum,bacteria,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium
258,470,Acinetobacter baumannii,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
295,471,Acinetobacter calcoaceticus,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
296,472,Acinetobacter sp.,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter
298,518,Bordetella bronchiseptica,bacteria,Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Bordetella
304,546,Citrobacter freundii,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex
317,548,Klebsiella aerogenes,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella
321,549,Pantoea agglomerans,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Pantoea; Pantoea agglomerans group
328,550,Enterobacter cloacae,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex
336,552,Erwinia amylovora,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Erwinia
370,554,Pectobacterium carotovorum,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Pectobacteriaceae; Pectobacterium
373,555,Pectobacterium carotovorum subsp. carotovorum,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Pectobacteriaceae; Pectobacterium; Pectobacterium carotovorum
382,558,Erwinia sp.,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Erwinia
383,562,Escherichia coli,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
607,571,Klebsiella oxytoca,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella
610,573,Klebsiella pneumoniae,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella
704,574,Klebsiella pneumoniae subsp. ozaenae,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella; Klebsiella pneumoniae
705,576,Klebsiella sp.,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella
707,580,Kluyvera cryocrescens,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Kluyvera
708,582,Morganella morganii,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Morganellaceae; Morganella
709,584,Proteus mirabilis,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Morganellaceae; Proteus
723,588,Providencia stuartii,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Morganellaceae; Providencia
724,589,Providencia sp.,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Morganellaceae; Providencia
725,594,Salmonella enterica subsp. enterica serovar Gallinarum,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica
730,595,Salmonella enterica subsp. enterica serovar Infantis,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica
731,605,Salmonella enterica subsp. enterica serovar Pullorum,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica
733,611,Salmonella enterica subsp. enterica serovar Heidelberg,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica
735,615,Serratia marcescens,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia
747,616,Serratia sp.,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia
748,621,Shigella boydii,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Shigella
753,622,Shigella dysenteriae,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Shigella
755,623,Shigella flexneri,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Shigella
779,624,Shigella sonnei,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Shigella
796,625,Shigella sp.,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Shigella
798,630,Yersinia enterocolitica,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia
808,632,Yersinia pestis,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex
820,633,Yersinia pseudotuberculosis,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex
821,636,Edwardsiella tarda,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Hafniaceae; Edwardsiella
826,644,Aeromonas hydrophila,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas
838,645,Aeromonas salmonicida,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas
850,647,Aeromonas sp.,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas
852,651,Aeromonas media,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas
853,663,Vibrio alginolyticus,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Vibrio harveyi group
860,666,Vibrio cholerae,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio
904,668,Aliivibrio fischeri,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Aliivibrio
905,669,Vibrio harveyi,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Vibrio harveyi group
911,670,Vibrio parahaemolyticus,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Vibrio harveyi group
933,672,Vibrio vulnificus,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio
935,678,Vibrio sp.,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio
939,691,Vibrio natriegens,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Vibrio harveyi group
941,714,Aggregatibacter actinomycetemcomitans,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Aggregatibacter
942,727,Haemophilus influenzae,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus
944,738,Glaesserella parasuis,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Glaesserella
945,747,Pasteurella multocida,bacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Pasteurella
948,817,Bacteroides fragilis,bacteria,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides
950,823,Parabacteroides distasonis,bacteria,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides
951,851,Fusobacterium nucleatum,bacteria,Bacteria; Fusobacteria; Fusobacteriia; Fusobacteriales; Fusobacteriaceae; Fusobacterium
952,853,Faecalibacterium prausnitzii,bacteria,Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium
960,959,Bdellovibrio bacteriovorus,bacteria,Bacteria; Proteobacteria; Oligoflexia; Bdellovibrionales; Bdellovibrionaceae; Bdellovibrio
963,996,Flavobacterium columnare,bacteria,Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavobacterium
965,1061,Rhodobacter capsulatus,bacteria,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter
967,1062,Rhodobacter sp.,bacteria,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter
968,1126,Microcystis aeruginosa,bacteria,Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Microcystaceae; Microcystis
969,1129,Synechococcus,bacteria,Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Cyanobacteria; Synechococcales; Synechococcaceae
981,1131,Synechococcus sp.,bacteria,Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Cyanobacteria; Synechococcales; Synechococcaceae; Synechococcus
996,1184,Leptolyngbya boryana,bacteria,Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Cyanobacteria; Synechococcales; Leptolyngbyaceae; Leptolyngbya
997,1219,Prochlorococcus marinus,bacteria,Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Cyanobacteria; Synechococcales; Prochloraceae; Prochlorococcus
1000,1245,Leuconostoc mesenteroides,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc
1005,1247,Oenococcus oeni,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Oenococcus
1008,1280,Staphylococcus aureus,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
1123,1282,Staphylococcus epidermidis,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
1132,1283,Staphylococcus haemolyticus,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
1133,1288,Staphylococcus xylosus,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
1134,1290,Staphylococcus hominis,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
1136,1301,Streptococcus,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae
1138,1302,Streptococcus gordonii,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
1139,1303,Streptococcus oralis,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
1140,1307,Streptococcus suis,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
1147,1308,Streptococcus thermophilus,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
1163,1309,Streptococcus mutans,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
1166,1311,Streptococcus agalactiae,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
1168,1313,Streptococcus pneumoniae,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
1191,1314,Streptococcus pyogenes,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
1194,1334,Streptococcus dysgalactiae,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus dysgalactiae group
1195,1336,Streptococcus equi,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus dysgalactiae group
1196,1348,Streptococcus parauberis,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
1197,1351,Enterococcus faecalis,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus
1258,1352,Enterococcus faecium,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus
1265,1358,Lactococcus lactis,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus
1409,1359,Lactococcus lactis subsp. cremoris,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus lactis
1426,1360,Lactococcus lactis subsp. lactis,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus lactis
1428,1363,Lactococcus garvieae,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus
1430,1392,Bacillus anthracis,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group
1436,1396,Bacillus cereus,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group
1469,1404,Priestia megaterium,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Priestia
1485,1405,Bacillus mycoides,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group
1486,1408,Bacillus pumilus,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
1496,1409,Bacillus sp. (in: Bacteria),bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
1499,1422,Geobacillus stearothermophilus,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus
1500,1423,Bacillus subtilis,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus subtilis group
1518,1428,Bacillus thuringiensis,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group
1546,1430,Bacillus thuringiensis serovar israelensis,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group
1547,1434,Bacillus thuringiensis serovar berliner,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group
1548,1444,Bacillus thuringiensis serovar tenebrionis,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group
1549,1462,Geobacillus kaustophilus,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus; Geobacillus thermoleovorans group
1550,1464,Paenibacillus larvae,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus
1575,1465,Brevibacillus laterosporus,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Brevibacillus
1583,1496,Clostridioides difficile,bacteria,Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Clostridioides
1603,1502,Clostridium perfringens,bacteria,Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium
1619,1509,Clostridium sporogenes,bacteria,Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium
1620,1513,Clostridium tetani,bacteria,Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium
1627,1519,Clostridium tyrobutyricum,bacteria,Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium
1628,1580,Levilactobacillus brevis,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Levilactobacillus
1633,1582,Lacticaseibacillus casei,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus
1635,1584,Lactobacillus delbrueckii,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus
1641,1585,Lactobacillus delbrueckii subsp. bulgaricus,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus delbrueckii
1642,1587,Lactobacillus helveticus,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus
1643,1589,Lactiplantibacillus pentosus,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactiplantibacillus
1644,1590,Lactiplantibacillus plantarum,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactiplantibacillus
1657,1591,Lactobacillus sp.,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus
1659,1596,Lactobacillus gasseri,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus
1661,1597,Lacticaseibacillus paracasei,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lacticaseibacillus
1670,1613,Limosilactobacillus fermentum,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Limosilactobacillus
1673,1639,Listeria monocytogenes,bacteria,Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria
1695,1648,Erysipelothrix rhusiopathiae,bacteria,Bacteria; Terrabacteria group; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Erysipelothrix
1696,1655,Actinomyces naeslundii,bacteria,Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Actinomycetales; Actinomycetaceae; Actinomyces
1697,1665,Arthrobacter globiformis,bacteria,Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Micrococcales; Micrococcaceae; Arthrobacter
1704,1667,Arthrobacter sp.,bacteria,Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Micrococcales; Micrococcaceae; Arthrobacter
1706,1718,Corynebacterium glutamicum,bacteria,Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Corynebacteriaceae; Corynebacterium
1709,1725,Corynebacterium xerosis,bacteria,Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Corynebacteriaceae; Corynebacterium
1714,1744,Propionibacterium freudenreichii,bacteria,Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Propionibacteriales; Propionibacteriaceae; Propionibacterium
1723,1747,Cutibacterium acnes,bacteria,Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Propionibacteriales; Propionibacteriaceae; Cutibacterium
1804,1764,Mycobacterium avium,bacteria,Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium avium complex (MAC)
1805,1770,Mycobacterium avium subsp. paratuberculosis,bacteria,Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium avium complex (MAC); Mycobacterium avium
1806,1771,Mycolicibacterium phlei,bacteria,Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium
1808,1772,Mycolicibacterium smegmatis,bacteria,Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium
1879,1773,Mycobacterium tuberculosis,bacteria,Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
1887,1810,Mycolicibacterium vaccae,bacteria,Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycolicibacterium
1888,1823,Nocardia otitidiscaviarum,bacteria,Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Nocardia
1889,1824,Nocardia asteroides,bacteria,Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Nocardia
1890,1829,Rhodococcus rhodochrous,bacteria,Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Rhodococcus
1891,1833,Rhodococcus erythropolis,bacteria,Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Nocardiaceae; Rhodococcus
1901,1888,Streptomyces albus,bacteria,Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Streptomycetales; Streptomycetaceae; Streptomyces
1902,1894,Kitasatospora aureofaciens,bacteria,Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Streptomycetales; Streptomycetaceae; Kitasatospora
1903,1902,Streptomyces coelicolor,bacteria,Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Streptomycetales; Streptomycetaceae; Streptomyces; Streptomyces albidoflavus group
1905,1911,Streptomyces griseus,bacteria,Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Streptomycetales; Streptomycetaceae; Streptomyces; Streptomyces griseus group; Streptomyces griseus subgroup
1925,1912,Streptomyces hygroscopicus,bacteria,Bacteria; Terrabacteria group; Actinobacteria; Actinomycetia; Streptomycetales; Streptomycetaceae; Streptomyces
